Query	Quality Threshold	Repetition	Unfairness
Query 2	θ = 0.88	26302	0.080428
Query 3	θ = 0.28	71765	0.01
Query 1	θ = 0.48	129983	0.012704
Query 1	θ = 0.28	76409	0.01
Query 1	θ = 0.48	157464	0.001847
Query 2	θ = 0.28	115519	0.01
Query 2	θ = 0.78	8163	0.008048
Query 2	θ = 0.88	143611	0.028657
Query 2	θ = 0.88	125207	0.035259
Query 3	θ = 0.48	191923	0.01
Query 3	θ = 0.88	25592	0.231694
Query 3	θ = 0.28	177201	0.01
Query 1	θ = 0.98	108910	0.265569
Query 3	θ = 0.88	114653	0.189581
Query 2	θ = 0.98	187579	0.093160
Query 3	θ = 0.98	30679	0.137897
Query 2	θ = 0.88	107970	0.041862
Query 1	θ = 0.78	196708	0.089149
Query 3	θ = 0.28	145960	0.01
Query 1	θ = 0.78	5659	0.210250
Query 3	θ = 0.78	145575	0.092782
Query 2	θ = 0.88	27728	0.079628
Query 2	θ = 0.88	92477	0.048210
Query 3	θ = 0.98	101181	0.198373
Query 3	θ = 0.48	124341	0.01
Query 2	θ = 0.28	175894	0.01
Query 2	θ = 0.48	163097	0.01
Query 2	θ = 0.78	165737	0.01
Query 2	θ = 0.78	138618	0.03
Query 3	θ = 0.48	9952	0.065840
Query 1	θ = 0.28	92411	0.01
Query 1	θ = 0.98	35194	0.193819
Query 3	θ = 0.98	78401	0.182186
Query 1	θ = 0.78	141109	0.120379
Query 2	θ = 0.28	57774	0.01
Query 2	θ = 0.98	190290	0.093855
Query 1	θ = 0.78	45461	0.186661
Query 2	θ = 0.78	156337	0.04
Query 3	θ = 0.88	156560	0.174407
Query 3	θ = 0.88	135732	0.181649
Query 3	θ = 0.88	55038	0.215960
Query 2	θ = 0.78	156533	0.03
Query 3	θ = 0.78	138050	0.095639
Query 1	θ = 0.48	132577	0.011480
Query 2	θ = 0.48	117431	0.01
Query 3	θ = 0.28	116929	0.01
Query 2	θ = 0.98	168418	0.087983
Query 1	θ = 0.78	144344	0.118432
Query 3	θ = 0.78	186718	0.078075
Query 2	θ = 0.88	50228	0.067703
Query 1	θ = 0.78	68540	0.168930
Query 1	θ = 0.78	196847	0.089076
Query 2	θ = 0.48	54914	0.01
Query 1	θ = 0.48	2571	0.085667
Query 1	θ = 0.78	157060	0.110945
Query 1	θ = 0.88	155867	0.231235
Query 1	θ = 0.78	148016	0.116245
Query 3	θ = 0.48	174985	0.02
Query 1	θ = 0.88	181316	0.220542
Query 2	θ = 0.98	23720	0.020383
Query 1	θ = 0.88	31956	0.295431
Query 2	θ = 0.88	25569	0.080848
Query 3	θ = 0.28	46751	0.01
Query 3	θ = 0.98	185510	0.241666
Query 3	θ = 0.48	87005	0.009629
Query 3	θ = 0.78	73652	0.122764
Query 1	θ = 0.28	178291	0.01
Query 3	θ = 0.48	60577	0.028060
Query 2	θ = 0.28	128790	0.01
Query 1	θ = 0.78	10230	0.207857
Query 3	θ = 0.98	177713	0.238473
Query 1	θ = 0.98	194857	0.315340
Query 3	θ = 0.28	151952	0.01
Query 2	θ = 0.88	106167	0.042578
Query 3	θ = 0.48	92846	0.005702
Query 2	θ = 0.98	41859	0.033276
Query 2	θ = 0.48	72448	0.01
Query 3	θ = 0.48	47895	0.037313
Query 1	θ = 0.88	130608	0.242222
Query 3	θ = 0.28	19829	0.01
Query 1	θ = 0.78	15754	0.205014
Query 2	θ = 0.48	111875	0.01
Query 2	θ = 0.78	171328	0.03
Query 1	θ = 0.48	151137	0.004056
Query 3	θ = 0.88	36254	0.225752
