Query	Quality Threshold	Repetition	Unfairness
Query 3	θ = 0.78	16423	0.151637
Query 3	θ = 0.28	34419	0.01
Query 3	θ = 0.88	22495	0.233477
Query 3	θ = 0.98	14553	0.118475
Query 3	θ = 0.28	23819	0.01
Query 2	θ = 0.78	176401	0.03
Query 1	θ = 0.78	198857	0.088027
Query 3	θ = 0.88	12326	0.239524
Query 3	θ = 0.88	3930	0.244748
Query 1	θ = 0.88	12965	0.308295
Query 2	θ = 0.98	27743	0.023416
Query 2	θ = 0.48	56909	0.01
Query 2	θ = 0.48	92854	0.01
Query 3	θ = 0.48	67075	0.023424
Query 3	θ = 0.88	113108	0.190184
Query 1	θ = 0.98	83821	0.245277
Query 2	θ = 0.78	145	0.010911
Query 2	θ = 0.48	138497	0.01
Query 3	θ = 0.88	192666	0.163085
Query 1	θ = 0.28	192006	0.01
Query 1	θ = 0.28	81116	0.01
Query 1	θ = 0.28	114647	0.01
Query 3	θ = 0.48	77121	0.016392
Query 2	θ = 0.88	181471	0.016405
Query 1	θ = 0.48	128144	0.013575
Query 2	θ = 0.98	91106	0.060223
Query 1	θ = 0.48	117403	0.018736
Query 1	θ = 0.48	168899	0.01
Query 3	θ = 0.28	16345	0.01
Query 2	θ = 0.48	194782	0.01
Query 3	θ = 0.48	10781	0.065197
Query 2	θ = 0.78	51256	0.03
Query 1	θ = 0.28	2473	0.01
Query 2	θ = 0.78	92932	0.02
Query 3	θ = 0.48	51599	0.034581
Query 1	θ = 0.78	1223	0.212605
Query 1	θ = 0.98	73942	0.236329
Query 2	θ = 0.28	43054	0.02
Query 2	θ = 0.28	160435	0.01
Query 3	θ = 0.28	81709	0.01
Query 3	θ = 0.78	123877	0.101194
Query 3	θ = 0.28	86087	0.01
Query 3	θ = 0.48	84773	0.011143
Query 3	θ = 0.78	167123	0.084876
Query 2	θ = 0.88	126520	0.034773
Query 2	θ = 0.78	120885	0.04
Query 3	θ = 0.48	171814	0.01
Query 1	θ = 0.48	118851	0.018033
Query 1	θ = 0.28	65038	0.01
Query 2	θ = 0.88	11481	0.089085
Query 1	θ = 0.48	78372	0.038553
Query 3	θ = 0.88	63983	0.211561
Query 3	θ = 0.28	82150	0.01
Query 1	θ = 0.28	192780	0.01
Query 2	θ = 0.48	166795	0.01
Query 3	θ = 0.88	137875	0.180876
Query 3	θ = 0.78	21664	0.148771
Query 3	θ = 0.88	18732	0.235681
Query 2	θ = 0.98	1248	0.001180
Query 3	θ = 0.28	199543	0.01
Query 3	θ = 0.78	31473	0.143532
Query 2	θ = 0.48	67558	0.01
Query 2	θ = 0.28	155576	0.01
Query 3	θ = 0.88	130909	0.183410
Query 2	θ = 0.78	49586	0.03
Query 1	θ = 0.98	38769	0.198304
Query 3	θ = 0.48	162881	0.01
Query 3	θ = 0.28	48888	0.01
Query 1	θ = 0.48	123473	0.015805
Query 3	θ = 0.28	198037	0.01
Query 1	θ = 0.98	135833	0.283837
Query 2	θ = 0.28	176438	0.01
Query 3	θ = 0.88	140443	0.179969
Query 3	θ = 0.28	69728	0.01
Query 2	θ = 0.98	28184	0.023746
Query 2	θ = 0.78	19100	0.003797
Query 1	θ = 0.48	166954	0.01
Query 3	θ = 0.98	131372	0.216406
Query 1	θ = 0.28	86913	0.01
Query 2	θ = 0.48	17696	0.03
Query 1	θ = 0.88	164344	0.227567
Query 2	θ = 0.98	76199	0.053065
Query 2	θ = 0.28	123676	0.01
Query 1	θ = 0.28	123607	0.01
Query 1	θ = 0.78	188035	0.093732
Query 1	θ = 0.98	136735	0.284409
Query 3	θ = 0.28	20654	0.01
Query 3	θ = 0.98	49698	0.157571
Query 2	θ = 0.28	117098	0.01
Query 2	θ = 0.78	142920	0.01
Query 2	θ = 0.98	170835	0.088665
Query 3	θ = 0.48	154276	0.01
Query 3	θ = 0.88	182990	0.165980
Query 2	θ = 0.98	23763	0.020416
Query 3	θ = 0.48	131662	0.01
Query 1	θ = 0.48	47516	0.056475
Query 3	θ = 0.28	25245	0.01
Query 3	θ = 0.88	141605	0.179558
Query 3	θ = 0.98	81321	0.184405
Query 3	θ = 0.28	50066	0.01
Query 1	θ = 0.78	122566	0.131869
Query 3	θ = 0.88	78549	0.204780
Query 3	θ = 0.48	83034	0.012328
Query 1	θ = 0.98	64178	0.226783
Query 1	θ = 0.88	152463	0.232738
Query 2	θ = 0.48	161193	0.01
Query 1	θ = 0.98	41046	0.201103
Query 1	θ = 0.28	120040	0.01
Query 2	θ = 0.98	33091	0.027310
Query 1	θ = 0.88	75790	0.269297
Query 3	θ = 0.28	105213	0.01
Query 3	θ = 0.88	143523	0.178880
Query 1	θ = 0.48	80944	0.037193
Query 3	θ = 0.48	133792	0.02
Query 1	θ = 0.78	6175	0.209978
Query 1	θ = 0.48	109950	0.022389
Query 3	θ = 0.28	151534	0.01
Query 1	θ = 0.48	33584	0.065187
Query 2	θ = 0.78	177412	0.03
Query 3	θ = 0.88	157503	0.174092
Query 2	θ = 0.28	45672	0.01
Query 1	θ = 0.48	67654	0.044377
Query 1	θ = 0.78	139246	0.121510
Query 2	θ = 0.48	54444	0.01
Query 2	θ = 0.48	182747	0.01
Query 2	θ = 0.78	36988	0.03
Query 1	θ = 0.28	169403	0.01
Query 1	θ = 0.78	64629	0.171851
Query 1	θ = 0.28	37622	0.01
Query 1	θ = 0.48	166299	0.01
Query 3	θ = 0.78	96778	0.112451
Query 1	θ = 0.98	116272	0.270876
Query 3	θ = 0.98	1541	0.100549
Query 2	θ = 0.88	154847	0.024846
Query 1	θ = 0.48	109391	0.022665
Query 3	θ = 0.88	118965	0.187915
Query 1	θ = 0.48	120464	0.017253
Query 3	θ = 0.48	82688	0.012564
Query 2	θ = 0.48	166579	0.01
Query 1	θ = 0.28	132614	0.01
Query 2	θ = 0.28	31467	0.01
Query 3	θ = 0.28	20964	0.01
Query 2	θ = 0.78	56150	0.04
Query 1	θ = 0.28	1462	0.01
Query 1	θ = 0.78	176424	0.100026
Query 3	θ = 0.48	76240	0.017002
Query 3	θ = 0.28	46852	0.01
Query 2	θ = 0.28	97113	0.01
Query 3	θ = 0.48	141176	0.01
Query 2	θ = 0.98	108221	0.067572
Query 2	θ = 0.28	27736	0.01
Query 1	θ = 0.48	125719	0.014730
Query 1	θ = 0.98	186778	0.311559
Query 2	θ = 0.88	23070	0.082259
Query 1	θ = 0.78	138051	0.122235
Query 3	θ = 0.28	162073	0.01
Query 2	θ = 0.78	76429	0.06
Query 3	θ = 0.28	197832	0.01
Query 3	θ = 0.48	192074	0.01
Query 3	θ = 0.88	88600	0.200325
Query 2	θ = 0.78	114055	0.03
Query 1	θ = 0.88	124318	0.245090
Query 3	θ = 0.48	190464	0.01
Query 1	θ = 0.78	123026	0.131576
Query 2	θ = 0.88	130872	0.033183
Query 2	θ = 0.88	6951	0.091873
Query 3	θ = 0.88	25186	0.231924
Query 2	θ = 0.48	33632	0.02
Query 3	θ = 0.28	123734	0.01
Query 3	θ = 0.88	170313	0.169927
Query 1	θ = 0.28	158204	0.01
Query 3	θ = 0.88	98537	0.196088
Query 3	θ = 0.48	176511	0.01
Query 2	θ = 0.28	118764	0.01
Query 1	θ = 0.88	10804	0.309814
Query 3	θ = 0.48	310	0.073407
Query 3	θ = 0.78	126533	0.100137
Query 3	θ = 0.48	133707	0.01
Query 3	θ = 0.28	62630	0.01
Query 2	θ = 0.98	167100	0.087606
Query 1	θ = 0.88	144010	0.236339
Query 1	θ = 0.28	112631	0.01
Query 1	θ = 0.88	30954	0.296092
Query 2	θ = 0.78	189986	0.05
Query 2	θ = 0.48	34130	0.01
Query 1	θ = 0.88	161726	0.228687
Query 2	θ = 0.48	86122	0.01
Query 1	θ = 0.78	169750	0.103728
Query 2	θ = 0.28	100037	0.01
Query 3	θ = 0.28	176337	0.01
Query 2	θ = 0.28	30138	0.01
Query 2	θ = 0.78	72961	0.03
Query 3	θ = 0.98	156510	0.229094
Query 2	θ = 0.88	127602	0.034374
Query 3	θ = 0.98	186538	0.242078
Query 2	θ = 0.48	103455	0.01
Query 2	θ = 0.48	37360	0.01
Query 2	θ = 0.28	2313	0.01
Query 2	θ = 0.98	113212	0.069566
Query 1	θ = 0.88	199718	0.213367
Query 2	θ = 0.78	151781	0.06
Query 2	θ = 0.48	32021	0.02
Query 2	θ = 0.88	180624	0.016667
Query 2	θ = 0.78	126658	0.04
Query 2	θ = 0.28	184729	0.01
Query 3	θ = 0.78	113457	0.105417
Query 3	θ = 0.98	63367	0.169964
Query 2	θ = 0.48	115010	0.01
Query 3	θ = 0.48	104312	0.01
Query 1	θ = 0.48	79980	0.037702
Query 3	θ = 0.98	162794	0.231984
Query 1	θ = 0.98	157502	0.296639
Query 1	θ = 0.88	9897	0.310457
Query 1	θ = 0.88	113371	0.250239
Query 1	θ = 0.98	149077	0.291813
Query 2	θ = 0.48	7140	0.02
Query 3	θ = 0.48	183272	0.01
Query 1	θ = 0.78	150977	0.114495
Query 3	θ = 0.88	126525	0.185041
Query 3	θ = 0.88	80485	0.203898
Query 2	θ = 0.28	9408	0.01
Query 2	θ = 0.98	196724	0.095454
Query 1	θ = 0.88	15382	0.306617
Query 2	θ = 0.88	73368	0.056589
Query 2	θ = 0.98	107196	0.067154
Query 2	θ = 0.48	105833	0.01
Query 3	θ = 0.48	173484	0.01
Query 2	θ = 0.88	175499	0.018235
Query 2	θ = 0.78	63794	0.03
Query 3	θ = 0.98	56686	0.164068
Query 2	θ = 0.88	151465	0.025981
Query 1	θ = 0.88	62576	0.276650
Query 1	θ = 0.48	55563	0.051572
Query 1	θ = 0.28	99641	0.01
Query 1	θ = 0.48	16282	0.076421
Query 1	θ = 0.88	85884	0.263951
Query 2	θ = 0.28	103581	0.01
Query 2	θ = 0.48	24113	0.01
Query 3	θ = 0.98	10136	0.112639
Query 2	θ = 0.78	177020	0.03
Query 3	θ = 0.78	28484	0.145112
Query 1	θ = 0.28	39717	0.01
Query 3	θ = 0.78	124106	0.101105
Query 3	θ = 0.88	63668	0.211714
Query 3	θ = 0.88	133534	0.182450
Query 1	θ = 0.78	25276	0.200230
Query 1	θ = 0.78	169442	0.103900
Query 2	θ = 0.88	161021	0.022814
Query 2	θ = 0.98	431	0.000400
Query 1	θ = 0.98	20169	0.173230
Query 1	θ = 0.78	39209	0.191685
Query 2	θ = 0.98	80291	0.055105
Query 2	θ = 0.48	149844	0.01
Query 3	θ = 0.98	23057	0.129071
Query 3	θ = 0.88	123644	0.186130
Query 2	θ = 0.28	186671	0.01
Query 1	θ = 0.78	169050	0.104119
Query 1	θ = 0.88	110321	0.251717
Query 2	θ = 0.28	35987	0.01
Query 2	θ = 0.88	154884	0.024832
Query 1	θ = 0.78	112578	0.138301
Query 3	θ = 0.98	78239	0.182062
Query 2	θ = 0.78	129511	0.04
Query 3	θ = 0.78	55027	0.131612
Query 3	θ = 0.28	112713	0.01
Query 2	θ = 0.98	83758	0.056788
Query 2	θ = 0.78	131708	0.03
Query 2	θ = 0.88	122158	0.036393
Query 1	θ = 0.28	121601	0.01
Query 2	θ = 0.28	63220	0.01
Query 2	θ = 0.98	187212	0.093064
Query 3	θ = 0.78	107006	0.108100
Query 2	θ = 0.28	149291	0.01
Query 1	θ = 0.88	35408	0.293185
Query 3	θ = 0.48	186701	0.01
Query 1	θ = 0.98	174979	0.305846
Query 1	θ = 0.78	27799	0.198988
Query 3	θ = 0.88	100712	0.195187
Query 2	θ = 0.98	22463	0.019412
Query 3	θ = 0.48	44195	0.040064
Query 3	θ = 0.48	164376	0.01
Query 3	θ = 0.98	90430	0.191049
Query 2	θ = 0.28	137879	0.02
Query 2	θ = 0.78	87767	0.03
Query 1	θ = 0.48	108491	0.023111
Query 3	θ = 0.78	22562	0.148286
Query 1	θ = 0.98	56929	0.219204
Query 1	θ = 0.98	27590	0.183722
Query 1	θ = 0.78	34438	0.195585
Query 2	θ = 0.48	130874	0.01
Query 3	θ = 0.78	128113	0.099516
Query 3	θ = 0.48	152209	0.01
Query 1	θ = 0.48	197702	0.01
Query 3	θ = 0.28	145856	0.01
Query 3	θ = 0.78	81620	0.119144
Query 2	θ = 0.88	113514	0.039701
Query 3	θ = 0.78	195459	0.075150
Query 2	θ = 0.98	85602	0.057671
Query 1	θ = 0.28	137199	0.01
Query 2	θ = 0.88	146542	0.027648
Query 2	θ = 0.78	43338	0.06
Query 1	θ = 0.88	94409	0.259605
Query 3	θ = 0.98	5406	0.106110
Query 1	θ = 0.28	81550	0.01
Query 1	θ = 0.88	56159	0.280382
Query 2	θ = 0.28	174106	0.01
Query 3	θ = 0.98	38282	0.146133
Query 3	θ = 0.88	16455	0.237031
Query 1	θ = 0.88	171802	0.224429
Query 1	θ = 0.88	113124	0.250358
Query 2	θ = 0.28	116219	0.01
Query 3	θ = 0.48	62704	0.026535
Query 2	θ = 0.48	119540	0.01
Query 1	θ = 0.28	177069	0.01
Query 3	θ = 0.98	172591	0.236306
Query 3	θ = 0.48	115157	0.02
Query 2	θ = 0.28	19533	0.01
Query 2	θ = 0.28	132737	0.01
Query 3	θ = 0.88	135062	0.181894
Query 3	θ = 0.28	35565	0.01
Query 3	θ = 0.48	24688	0.054615
Query 1	θ = 0.88	193259	0.215836
Query 3	θ = 0.88	10425	0.240695
Query 1	θ = 0.98	24326	0.179176
Query 3	θ = 0.78	158072	0.088144
Query 1	θ = 0.48	17130	0.075859
Query 1	θ = 0.98	110222	0.266525
Query 1	θ = 0.98	137775	0.285073
Query 1	θ = 0.28	130599	0.01
Query 3	θ = 0.48	51860	0.034390
Query 1	θ = 0.28	66632	0.01
Query 3	θ = 0.48	176989	0.01
Query 1	θ = 0.98	198029	0.316792
Query 2	θ = 0.48	51518	0.01
Query 2	θ = 0.98	53716	0.040709
Query 1	θ = 0.28	117962	0.01
Query 2	θ = 0.88	26624	0.080248
Query 1	θ = 0.78	157836	0.110496
Query 1	θ = 0.28	195114	0.01
Query 2	θ = 0.48	5835	0.01
Query 3	θ = 0.28	168417	0.01
Query 3	θ = 0.28	163816	0.01
Query 3	θ = 0.88	100197	0.195402
Query 2	θ = 0.78	16626	0.004834
Query 2	θ = 0.48	187821	0.02
Query 3	θ = 0.88	149192	0.176902
Query 2	θ = 0.78	173647	0.03
Query 2	θ = 0.28	69940	0.01
Query 1	θ = 0.88	17615	0.305082
Query 2	θ = 0.88	97674	0.046041
Query 2	θ = 0.78	3204	0.009812
Query 2	θ = 0.98	181327	0.091521
Query 3	θ = 0.98	19714	0.125006
Query 3	θ = 0.78	132369	0.097845
Query 2	θ = 0.48	80315	0.01
Query 1	θ = 0.88	193949	0.215569
Query 1	θ = 0.28	63354	0.01
Query 1	θ = 0.78	181112	0.097462
Query 3	θ = 0.48	114918	0.01
Query 2	θ = 0.48	79001	0.02
Query 2	θ = 0.78	172044	0.04
Query 2	θ = 0.78	36407	0.04
Query 2	θ = 0.48	58770	0.01
Query 1	θ = 0.28	48313	0.01
Query 2	θ = 0.98	121081	0.072578
Query 1	θ = 0.28	110867	0.01
Query 3	θ = 0.88	32656	0.227725
Query 3	θ = 0.98	194832	0.245318
Query 1	θ = 0.78	188440	0.093514
Query 3	θ = 0.28	937	0.01
Query 3	θ = 0.48	152606	0.01
Query 1	θ = 0.78	165503	0.106115
Query 2	θ = 0.98	52015	0.039683
Query 2	θ = 0.78	88110	0.02
Query 1	θ = 0.98	171878	0.304264
Query 2	θ = 0.28	127570	0.01
Query 3	θ = 0.28	49810	0.01
Query 2	θ = 0.88	37591	0.074265
Query 3	θ = 0.98	117554	0.208578
Query 1	θ = 0.28	30806	0.01
Query 1	θ = 0.88	110409	0.251675
Query 3	θ = 0.88	105210	0.193344
Query 1	θ = 0.98	70721	0.233265
Query 1	θ = 0.98	61597	0.224144
Query 2	θ = 0.28	78174	0.01
Query 3	θ = 0.98	98802	0.196796
Query 3	θ = 0.48	54926	0.032149
Query 3	θ = 0.98	82055	0.184953
Query 3	θ = 0.48	25920	0.053694
Query 1	θ = 0.88	65937	0.274738
Query 2	θ = 0.98	121749	0.072829
Query 1	θ = 0.98	6872	0.152206
Query 2	θ = 0.28	153807	0.01
Query 3	θ = 0.78	31519	0.143508
Query 3	θ = 0.48	64653	0.025144
Query 3	θ = 0.78	29207	0.144727
Query 3	θ = 0.48	163859	0.01
Query 3	θ = 0.88	18385	0.235887
Query 1	θ = 0.28	8826	0.01
Query 1	θ = 0.98	198168	0.316854
Query 2	θ = 0.98	2256	0.002141
Query 3	θ = 0.48	139501	0.01
Query 1	θ = 0.28	4549	0.01
Query 1	θ = 0.88	83289	0.265303
Query 3	θ = 0.48	85669	0.010534
Query 1	θ = 0.78	159234	0.109693
Query 1	θ = 0.28	49757	0.01
Query 2	θ = 0.98	2051	0.001947
Query 2	θ = 0.28	107198	0.01
Query 3	θ = 0.88	143121	0.179024
Query 1	θ = 0.48	39178	0.061654
Query 2	θ = 0.88	188313	0.014371
Query 3	θ = 0.98	104869	0.200768
Query 2	θ = 0.88	156184	0.024400
Query 2	θ = 0.48	159619	0.02
Query 1	θ = 0.28	86728	0.01
Query 3	θ = 0.48	135371	0.01
Query 3	θ = 0.48	199407	0.01
Query 1	θ = 0.28	189901	0.01
Query 3	θ = 0.28	109687	0.01
Query 3	θ = 0.48	170596	0.01
Query 2	θ = 0.28	32346	0.01
Query 2	θ = 0.98	6020	0.005624
Query 2	θ = 0.48	46582	0.01
Query 3	θ = 0.78	102208	0.110122
Query 1	θ = 0.78	94282	0.150553
Query 3	θ = 0.88	69421	0.208978
Query 2	θ = 0.48	150974	0.01
Query 2	θ = 0.48	82009	0.01
Query 3	θ = 0.88	198960	0.161239
Query 2	θ = 0.28	141886	0.01
Query 3	θ = 0.98	196701	0.246028
Query 2	θ = 0.88	197328	0.011732
Query 3	θ = 0.88	156743	0.174346
Query 3	θ = 0.98	66143	0.172323
Query 1	θ = 0.78	117285	0.135248
Query 3	θ = 0.28	55424	0.01
Query 3	θ = 0.28	27546	0.01
Query 2	θ = 0.48	103087	0.02
Query 2	θ = 0.48	172834	0.01
Query 3	θ = 0.48	13261	0.063284
Query 2	θ = 0.48	109788	0.01
Query 2	θ = 0.78	74618	0.03
Query 3	θ = 0.48	22234	0.056456
Query 1	θ = 0.28	78034	0.01
Query 2	θ = 0.28	96721	0.01
Query 3	θ = 0.78	160250	0.087349
Query 2	θ = 0.78	41481	0.03
Query 3	θ = 0.98	16594	0.121094
Query 1	θ = 0.78	173771	0.101489
Query 3	θ = 0.78	49639	0.134264
Query 3	θ = 0.98	21415	0.127089
Query 1	θ = 0.98	40836	0.200853
Query 3	θ = 0.98	32259	0.139648
Query 2	θ = 0.88	147780	0.027226
Query 2	θ = 0.98	83860	0.056838
Query 2	θ = 0.48	180468	0.02
Query 3	θ = 0.98	100815	0.198131
Query 1	θ = 0.78	23717	0.201003
Query 1	θ = 0.78	11150	0.207381
Query 3	θ = 0.88	107791	0.192303
Query 3	θ = 0.78	73664	0.122758
Query 2	θ = 0.88	142685	0.028980
Query 2	θ = 0.78	91741	0.04
Query 2	θ = 0.98	152636	0.083315
Query 2	θ = 0.28	71927	0.01
Query 1	θ = 0.98	7919	0.154048
Query 2	θ = 0.28	55725	0.01
Query 3	θ = 0.48	171081	0.01
Query 1	θ = 0.28	72472	0.01
Query 1	θ = 0.88	18956	0.304169
Query 3	θ = 0.98	50426	0.158265
Query 3	θ = 0.78	149195	0.091422
Query 3	θ = 0.28	146379	0.01
Query 3	θ = 0.88	153900	0.175309
Query 3	θ = 0.98	35281	0.142947
Query 3	θ = 0.48	35906	0.046317
Query 1	θ = 0.98	182750	0.309637
Query 2	θ = 0.98	13583	0.012233
Query 1	θ = 0.78	28012	0.198884
Query 2	θ = 0.88	8348	0.091010
Query 1	θ = 0.48	31115	0.066762
Query 2	θ = 0.78	73908	0.04
Query 1	θ = 0.48	61239	0.048169
Query 2	θ = 0.88	8063	0.091186
Query 3	θ = 0.78	167146	0.084868
Query 1	θ = 0.98	161793	0.298982
Query 1	θ = 0.28	79053	0.01
Query 1	θ = 0.98	19059	0.171613
Query 1	θ = 0.28	87199	0.02
Query 2	θ = 0.98	70928	0.050339
Query 2	θ = 0.78	18699	0.003965
Query 3	θ = 0.88	31501	0.228372
Query 1	θ = 0.78	167474	0.105002
Query 1	θ = 0.48	71604	0.042170
Query 1	θ = 0.28	16711	0.01
Query 2	θ = 0.88	85979	0.050986
Query 2	θ = 0.78	133619	0.05
Query 1	θ = 0.98	17717	0.169596
Query 3	θ = 0.98	102722	0.199380
Query 1	θ = 0.48	34144	0.064832
Query 2	θ = 0.48	58443	0.02
Query 2	θ = 0.48	26029	0.01
Query 2	θ = 0.28	35626	0.01
Query 1	θ = 0.48	121377	0.016813
Query 3	θ = 0.88	10971	0.240357
Query 1	θ = 0.48	65195	0.045824
Query 3	θ = 0.88	58474	0.214255
Query 3	θ = 0.28	160310	0.01
Query 3	θ = 0.78	3488	0.158925
Query 2	θ = 0.28	197185	0.01
Query 3	θ = 0.48	192477	0.01
Query 1	θ = 0.78	95596	0.149651
Query 1	θ = 0.48	188650	0.01
Query 1	θ = 0.48	4517	0.084335
Query 1	θ = 0.98	83072	0.244613
Query 1	θ = 0.88	96671	0.258476
Query 3	θ = 0.98	151455	0.226686
Query 3	θ = 0.98	173278	0.236601
Query 1	θ = 0.88	34687	0.293652
Query 3	θ = 0.28	158194	0.01
Query 1	θ = 0.98	167750	0.302130
Query 2	θ = 0.28	136647	0.01
Query 3	θ = 0.98	19661	0.124941
Query 3	θ = 0.78	88931	0.115885
Query 3	θ = 0.98	134612	0.218146
Query 3	θ = 0.88	106243	0.192925
Query 3	θ = 0.48	188810	0.01
Query 3	θ = 0.28	20326	0.02
Query 1	θ = 0.48	169493	0.01
Query 1	θ = 0.48	74648	0.040536
Query 2	θ = 0.28	152578	0.01
Query 1	θ = 0.78	124285	0.130778
Query 2	θ = 0.28	170283	0.01
Query 3	θ = 0.28	66070	0.01
Query 2	θ = 0.88	62094	0.061853
Query 3	θ = 0.88	137587	0.180981
Query 1	θ = 0.88	6375	0.312976
Query 3	θ = 0.28	179273	0.01
Query 3	θ = 0.88	198357	0.161415
Query 3	θ = 0.28	59799	0.01
Query 2	θ = 0.88	44297	0.070736
Query 3	θ = 0.88	172844	0.169125
Query 1	θ = 0.98	192176	0.314106
Query 2	θ = 0.28	147033	0.01
Query 2	θ = 0.88	185157	0.015302
Query 2	θ = 0.48	61166	0.01
Query 1	θ = 0.88	89813	0.261927
Query 1	θ = 0.28	27241	0.01
Query 1	θ = 0.28	186749	0.01
Query 3	θ = 0.48	44373	0.039931
Query 3	θ = 0.28	113687	0.01
Query 2	θ = 0.48	67372	0.01
Query 2	θ = 0.88	41166	0.072379
Query 3	θ = 0.78	102927	0.109818
Query 3	θ = 0.88	158568	0.173736
Query 2	θ = 0.88	182434	0.016112
Query 2	θ = 0.98	17974	0.015837
Query 3	θ = 0.28	199408	0.01
Query 2	θ = 0.88	153078	0.025435
Query 2	θ = 0.28	101540	0.01
Query 1	θ = 0.98	132749	0.281921
Query 1	θ = 0.98	15429	0.166155
Query 1	θ = 0.48	10670	0.080167
Query 3	θ = 0.98	178140	0.238652
Query 3	θ = 0.88	196799	0.161867
Query 3	θ = 0.88	144220	0.178634
Query 3	θ = 0.98	185697	0.241741
Query 3	θ = 0.98	156816	0.229236
Query 2	θ = 0.98	19839	0.017344
Query 1	θ = 0.98	141031	0.287057
Query 1	θ = 0.28	146273	0.01
Query 2	θ = 0.98	96201	0.062500
Query 1	θ = 0.48	69162	0.043493
Query 1	θ = 0.78	136790	0.123004
Query 1	θ = 0.98	8306	0.154742
Query 2	θ = 0.98	83805	0.056811
Query 3	θ = 0.98	39052	0.146939
Query 1	θ = 0.78	47475	0.185062
Query 2	θ = 0.78	50922	0.03
Query 1	θ = 0.78	129911	0.127245
Query 1	θ = 0.78	4981	0.210608
Query 1	θ = 0.48	191669	0.01
Query 2	θ = 0.98	70471	0.050098
Query 2	θ = 0.78	86709	0.03
Query 1	θ = 0.78	57070	0.177588
Query 1	θ = 0.28	93533	0.01
Query 2	θ = 0.28	89516	0.01
Query 2	θ = 0.28	115244	0.01
Query 1	θ = 0.88	134874	0.240314
Query 3	θ = 0.48	24106	0.055050
Query 2	θ = 0.78	107918	0.02
Query 2	θ = 0.78	23609	0.001918
Query 3	θ = 0.28	78386	0.01
Query 3	θ = 0.28	179306	0.01
Query 3	θ = 0.88	198428	0.161395
Query 2	θ = 0.78	127045	0.03
Query 1	θ = 0.78	135937	0.123524
Query 1	θ = 0.48	196127	0.01
Query 3	θ = 0.98	31353	0.138647
Query 2	θ = 0.98	37130	0.030114
Query 1	θ = 0.78	191965	0.091643
Query 3	θ = 0.48	99851	0.001244
Query 2	θ = 0.88	123618	0.035851
Query 1	θ = 0.28	147773	0.01
Query 1	θ = 0.88	64493	0.275557
Query 2	θ = 0.48	78504	0.01
Query 2	θ = 0.88	34030	0.076172
Query 2	θ = 0.88	1929	0.095014
Query 3	θ = 0.88	183648	0.165781
Query 3	θ = 0.48	143329	0.01
Query 2	θ = 0.88	103636	0.043592
Query 1	θ = 0.48	133533	0.011031
Query 2	θ = 0.78	114046	0.04
Query 1	θ = 0.98	114454	0.269589
Query 2	θ = 0.28	5487	0.01
Query 1	θ = 0.78	59927	0.175402
Query 1	θ = 0.78	154285	0.112558
Query 2	θ = 0.28	180607	0.01
Query 1	θ = 0.48	7035	0.082622
Query 3	θ = 0.48	46888	0.038059
Query 3	θ = 0.98	130861	0.216127
Query 2	θ = 0.48	49970	0.02
Query 1	θ = 0.88	148734	0.234341
Query 1	θ = 0.98	194483	0.315172
Query 3	θ = 0.28	168306	0.01
Query 1	θ = 0.78	42641	0.188915
Query 3	θ = 0.98	147144	0.224579
Query 2	θ = 0.98	3410	0.003218
Query 2	θ = 0.78	181083	0.03
Query 1	θ = 0.48	106565	0.024068
Query 1	θ = 0.88	156873	0.230794
Query 1	θ = 0.88	81033	0.266492
Query 2	θ = 0.88	122714	0.036185
Query 3	θ = 0.98	88276	0.189516
Query 3	θ = 0.78	8558	0.156037
Query 1	θ = 0.28	190022	0.01
Query 2	θ = 0.98	161861	0.086093
Query 3	θ = 0.88	70343	0.208541
Query 3	θ = 0.28	156128	0.01
Query 1	θ = 0.78	171543	0.102728
Query 3	θ = 0.48	182904	0.01
Query 1	θ = 0.98	157960	0.296892
Query 1	θ = 0.48	74517	0.040606
Query 3	θ = 0.28	118329	0.01
Query 1	θ = 0.48	121903	0.016559
Query 2	θ = 0.48	160454	0.01
Query 2	θ = 0.78	51013	0.05
Query 2	θ = 0.78	161574	0.04
Query 3	θ = 0.88	17968	0.236133
Query 1	θ = 0.28	135917	0.01
Query 3	θ = 0.48	150660	0.01
Query 1	θ = 0.88	89625	0.262023
Query 2	θ = 0.78	165701	0.04
Query 2	θ = 0.98	186436	0.092863
Query 3	θ = 0.48	130511	0.01
Query 1	θ = 0.98	160435	0.298267
Query 2	θ = 0.98	177216	0.090421
Query 3	θ = 0.28	70621	0.01
Query 3	θ = 0.78	69708	0.124599
Query 1	θ = 0.78	122201	0.132101
Query 3	θ = 0.48	37768	0.044902
Query 3	θ = 0.28	84516	0.01
Query 3	θ = 0.88	126182	0.185173
Query 3	θ = 0.48	114019	0.01
Query 1	θ = 0.48	11814	0.079399
Query 2	θ = 0.88	54522	0.065550
Query 2	θ = 0.78	81846	0.02
Query 2	θ = 0.78	60686	0.03
Query 2	θ = 0.78	41850	0.01
Query 3	θ = 0.48	80781	0.013870
Query 3	θ = 0.28	88422	0.01
Query 3	θ = 0.78	71160	0.123917
Query 1	θ = 0.98	199452	0.317418
Query 1	θ = 0.88	152509	0.232717
Query 3	θ = 0.78	99052	0.111470
Query 1	θ = 0.98	78224	0.240258
Query 3	θ = 0.28	147727	0.01
